degree,workers,speedup,backend
1000,1,0.7728660986979584,OpenMP
1000,2,1.2979184213692692,OpenMP
1000,3,1.1781672143117927,OpenMP
1000,4,0.3105263157894737,OpenMP
1000,5,0.9829320329167938,OpenMP
1000,6,1.091156462585034,OpenMP
1000,7,0.8517891170865974,OpenMP
1000,8,0.9614561027837256,OpenMP
10000,1,0.7884759987045354,OpenMP
10000,2,1.5091400734180844,OpenMP
10000,3,2.1608775423795263,OpenMP
10000,4,2.5640148434798054,OpenMP
10000,5,2.098534443995641,OpenMP
10000,6,2.2076253391911096,OpenMP
10000,7,2.1216960937618605,OpenMP
10000,8,2.7111113292176627,OpenMP
100000,1,0.8008119799648178,OpenMP
100000,2,1.5460618123968295,OpenMP
100000,4,2.873040391219188,OpenMP
100000,8,2.846099405327083,OpenMP
1000,1,0.7328927359925138,Pthreads
1000,2,1.3528014682068443,Pthreads
1000,3,1.733195020746888,Pthreads
1000,4,1.5884142476866523,Pthreads
1000,5,1.404663154354893,Pthreads
1000,6,1.484539746475536,Pthreads
1000,7,1.3072188608387232,Pthreads
1000,8,1.2054834054834056,Pthreads
10000,1,0.782467939591372,Pthreads
10000,2,1.524875302119514,Pthreads
10000,3,2.2377029278387486,Pthreads
10000,4,2.47492831941036,Pthreads
10000,5,2.3270855224950324,Pthreads
10000,6,2.6438339236260524,Pthreads
10000,7,2.393113242596506,Pthreads
10000,8,2.7670734580190404,Pthreads
100000,1,0.7965717575327276,Pthreads
100000,2,1.5562971908810144,Pthreads
100000,4,2.895361047523896,Pthreads
100000,8,2.9096657841122218,Pthreads
1000,1,0.6891229344470674,MPI
1000,2,0.3824833702882483,MPI
1000,4,0.2607888949972602,MPI
1000,8,0.2121178246045497,MPI
10000,1,1.011168069625297,MPI
10000,2,1.7219721883817427,MPI
10000,4,2.532914894802325,MPI
10000,8,3.1455388234208885,MPI
100000,1,1.0019105553963426,MPI
100000,2,1.973570084862456,MPI
100000,4,3.823278136492349,MPI
100000,8,7.151193430778379,MPI
1000,1,0.4825070469242249,MPI (1 node)
1000,2,0.5006020987441941,MPI (1 node)
1000,4,1.7097532314923622,MPI (1 node)
1000,8,0.0034973691611361,MPI (1 node)
10000,1,0.9954155449317332,MPI (1 node)
10000,2,1.8939933063237624,MPI (1 node)
10000,4,3.468585880743771,MPI (1 node)
10000,8,0.2507184236372336,MPI (1 node)
100000,1,0.9977697740901806,MPI (1 node)
100000,2,1.9132141538992056,MPI (1 node)
100000,4,2.3780548217163027,MPI (1 node)
100000,8,1.881191128373361,MPI (1 node)
