degree,workers,gen_mean,gen_std,serial_min,serial_mean,serial_std,parallel_mean,parallel_std,parallel_min,parallel_max,speedup_read_mean,send_time,compute_time,reduce_time,repeats,speedup
1000,1,5.5400000000000005e-05,8.76356092008266e-06,0.000775,0.0010279999999999,0.000175029997429,0.0011014,0.0001798146267687,0.000831,0.001247,0.9328,1.5799999999999998e-05,0.0010262,2.16e-05,5,0.6891229344470674
1000,2,7.92e-05,3.580782037488459e-05,0.000915,0.0014662,0.0007387257271816,0.0019844,0.0004615098048795,0.00145,0.002368,0.7215999999999999,0.0002076,0.0008326,0.0004096,5,0.38248337028824836
1000,4,9.6e-05,4.169532347877877e-05,0.000915,0.0016739999999999,0.0006854779354581,0.0029103999999999,0.0002061899609583,0.002588,0.003084,0.5868,0.0005364,0.0005986,0.000834,5,0.2607888949972602
1000,8,7.7e-05,3.674234614174767e-05,0.000759,0.0013744,0.0007220843441039,0.0035782,9.039469010954124e-05,0.003489,0.003704,0.3842,0.0007148,0.0003145999999999,0.0011589999999999,5,0.21211782460454978
10000,1,0.0006178,0.0002689920073162,0.066551,0.0714242,0.0060953958608116,0.0539574,8.165353635942622e-05,0.053888,0.054093,1.3236,6.759999999999999e-05,0.0537652,9.06e-05,5,1.011168069625297
10000,2,0.0008524,0.0003533614297005,0.060683,0.0742228,0.0084898262467496,0.0316845999999999,0.0004557294153332,0.031186,0.032347,2.3436,0.0015385999999999,0.027195,0.0024984,5,1.7219721883817427
10000,4,0.0008497999999999,0.0003599523579586,0.063616,0.0734611999999999,0.0085100723087409,0.0215404,0.000433126194082,0.020981,0.022197,3.4116,0.0033751999999999,0.013802,0.0035908,5,2.5329148948023246
10000,8,0.0008626,0.0003510773419063,0.05456,0.070659,0.0119515696249488,0.0173452,0.0002951850267205,0.017001,0.017777,4.071,0.0045804,0.0070746,0.004463,5,3.1455388234208885
100000,1,0.00607,0.0006236681810065,5.701627,5.708049,0.0090820794975596,5.684211,0.0007509474016201,5.68368,5.684742,1.004,0.0005189999999999,5.6827745,0.0008964999999999,2,1.0019105553963426
100000,2,0.0056795,0.0025689189360507,5.695071,5.6985,0.0048493383053768,2.8856695,0.0026707423125415,2.883781,2.887558,1.975,0.012942,2.8499685,0.0223425,2,1.9735700848624558
100000,4,0.0091814999999999,0.0021008142469052,5.695378,5.7003205,0.0069897505320294,1.489578,0.0005077026688919,1.489219,1.489937,3.827,0.0255975,1.4272345,0.035976,2,3.823278136492349
100000,8,0.0067945,0.0044781072452544,5.710805,5.7187685,0.0112620897039584,0.7963804999999999,0.000352846283812,0.796131,0.79663,7.181,0.033031,0.7167125,0.045352,2,7.151193430778379
