degree,workers,speedup,backend
1000,1,0.7379751093171879,OpenMP
1000,2,1.2630592351912022,OpenMP
1000,3,1.611267605633803,OpenMP
1000,4,1.8058479532163745,OpenMP
1000,5,1.168129130105081,OpenMP
1000,6,1.2056555269922875,OpenMP
1000,7,1.0684754521963824,OpenMP
1000,8,1.0004637358560562,OpenMP
10000,1,0.8239390385554204,OpenMP
10000,2,1.4782755044979996,OpenMP
10000,3,2.18714627090932,OpenMP
10000,4,2.775673588816191,OpenMP
10000,5,2.158290325385096,OpenMP
10000,6,2.1653202080119587,OpenMP
10000,7,2.3463593594889725,OpenMP
10000,8,2.439229284335454,OpenMP
100000,1,0.7993028311023377,OpenMP
100000,2,1.5439715579483235,OpenMP
100000,4,2.8921597860028734,OpenMP
100000,8,2.895614720580341,OpenMP
1000,1,0.9454,MPI
1000,2,0.497,MPI
1000,4,0.358,MPI
1000,8,0.3198,MPI
10000,1,1.0174,MPI
10000,2,1.8182000000000005,MPI
10000,4,3.0126,MPI
10000,8,3.6324,MPI
100000,1,0.999,MPI
100000,2,1.9536666666666669,MPI
100000,4,3.818666666666666,MPI
100000,8,7.024333333333334,MPI
