degree,processes,gen_mean,gen_std,serial_mean,serial_std,parallel_mean,parallel_std,parallel_min,parallel_max,speedup,repeats
1000,1,7.74e-05,3.625327571406479e-05,0.0018801999999999998,0.0009164134983728687,0.0019974,0.000992860664947504,0.000894,0.003073,0.9453999999999999,5
1000,2,3.5999999999999994e-05,4.06201920231798e-06,0.0008709999999999999,5.218716317256573e-05,0.0018376000000000004,0.0005192564876821472,0.00135,0.002716,0.497,5
1000,4,3.48e-05,3.4205262752974147e-06,0.0008494000000000002,2.9678274882479252e-05,0.0024002000000000003,0.00028762944911813187,0.002021,0.002721,0.358,5
1000,8,4.3599999999999996e-05,1.5026643005009467e-05,0.0010098000000000002,0.00039268014974021796,0.0032056000000000003,0.00022781527604618607,0.002932,0.003407,0.3198,5
10000,1,0.0003538,3.1554714386284656e-05,0.0715842,0.0020836938834675298,0.0703608,7.554932163825221e-05,0.070273,0.070468,1.0173999999999999,5
10000,2,0.00033719999999999996,2.2241852440837745e-05,0.07387020000000001,0.0014908992923735698,0.040638600000000004,0.0007955214013463134,0.039665,0.041806,1.8182000000000003,5
10000,4,0.0004790000000000001,0.00034559586224374854,0.0776632,0.012109078028487551,0.0258006,0.00044553035811266547,0.025226,0.026317,3.0126,5
10000,8,0.0004502,0.0002552816092083407,0.0719786,0.000906560974231737,0.019837,0.0008253820327581648,0.019363,0.021304,3.6323999999999996,5
100000,1,0.003112,0.00045407928823059074,7.119592333333333,0.0019691963673880886,7.127292333333334,0.0045372428118115185,7.123769,7.132412,0.999,3
100000,2,0.003295333333333333,0.00020587455727537902,7.140405333333334,0.010779564431522063,3.6546,0.00046698072765378535,3.654249,3.65513,1.9536666666666667,3
100000,4,0.0029413333333333336,4.888080741286239e-05,7.137862000000001,0.009344581264026958,1.8690836666666666,0.00619348321490689,1.862846,1.875232,3.8186666666666667,3
100000,8,0.0031193333333333333,0.00019764699171334051,7.133488333333333,0.00513831658554942,1.0155603333333334,0.006457343442417653,1.008201,1.020278,7.024333333333334,3
